order_id,user_id,order_timestamp,order_status,order_total_amount_before_discount,order_total_discount_amount,order_shipping_fee,order_final_total_amount,payment_method_used,payment_status,shipping_address_city,shipping_address_country,shipping_address_zipcode,estimated_delivery_date,actual_delivery_date,promo_code_used,session_id_of_order
ORD001,U00001,2023-07-01 10:15:22,Delivered,1550.00,350.00,30.00,1230.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-07-04,2023-07-03,WELCOME50,SESS_ORD_001
ORD002,U00003,2023-07-02 14:30:50,Shipped,1070.00,160.00,30.00,940.00,BankTransfer_KBANK,Paid,Nonthaburi,Thailand,11000,2023-07-06,NULL,NULL,SESS_ORD_002
ORD003,U00007,2023-07-03 09:05:10,Delivered,25990.00,2000.00,0.00,23990.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10200,2023-07-06,2023-07-05,FREESHIPJULY,SESS_ORD_003
ORD004,U00019,2023-07-04 11:20:00,Processing,650.00,100.00,30.00,580.00,COD,Unpaid,Bangkok,Thailand,10310,2023-07-08,NULL,NULL,SESS_ORD_004
ORD005,U00029,2023-07-05 16:45:30,Delivered,1090.00,120.00,30.00,1000.00,CreditCard_Visa,Paid,Bangkok,Thailand,10400,2023-07-08,2023-07-07,NULL,SESS_ORD_005
ORD006,U00001,2023-07-06 08:00:15,Delivered,320.00,0.00,30.00,350.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10110,2023-07-09,2023-07-08,NULL,SESS_ORD_006
ORD007,U00041,2023-07-07 12:10:45,Shipped,4550.00,650.00,50.00,3950.00,BankTransfer_KBANK,Paid,Chonburi,Thailand,20000,2023-07-11,NULL,NULL,SESS_ORD_007
ORD008,U00051,2023-07-08 15:25:00,Delivered,1290.00,210.00,0.00,1080.00,CreditCard_Visa,Paid,Manila,Philippines,1004,2023-07-13,2023-07-12,SALE20,SESS_ORD_008
ORD009,U00069,2023-07-09 18:30:55,Pending_Payment,850.00,0.00,30.00,880.00,COD,Unpaid,Bangkok,Thailand,10500,2023-07-13,NULL,NULL,SESS_ORD_009
ORD010,U00007,2023-07-10 10:50:20,Delivered,2800.00,400.00,30.00,2430.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10200,2023-07-13,2023-07-12,NULL,SESS_ORD_010
ORD011,U00011,2023-07-11 13:00:00,Delivered,280.00,0.00,30.00,310.00,CreditCard_Visa,Paid,Bangkok,Thailand,10120,2023-07-14,2023-07-13,NULL,SESS_ORD_011
ORD012,U00003,2023-07-12 09:40:10,Shipped,350.00,50.00,30.00,330.00,BankTransfer_KBANK,Paid,Nonthaburi,Thailand,11000,2023-07-16,NULL,MIDYEAR10,SESS_ORD_012
