review_id,user_id,product_id,review_rating,review_text,review_timestamp,review_upvotes,review_downvotes
REV001,U00001,P00002,5,"เสื้อสวยมากค่ะ เนื้อผ้าดี ใส่สบาย จัดส่งเร็วด้วยค่ะ",2023-07-05 10:00:00,15,0
REV002,U00003,P00008,4,"เซรั่มใช้ดีค่ะ รู้สึกผิวกระจ่างใสขึ้น แต่กลิ่นอ่อนไปหน่อย",2023-07-07 11:30:00,8,1
REV003,U00007,P00001,5,"สมาร์ทโฟน NovaTech X20 คุ้มค่ามากครับ กล้องชัด แบตอึด เล่นเกมลื่น",2023-07-08 14:00:00,25,0
REV004,U00019,P00008,3,"ก็โอเคนะคะ ซึมไว แต่ยังไม่เห็นผลเรื่องลดรอยดำชัดเจนเท่าไหร่",2023-07-09 16:20:00,3,2
REV005,U00029,P00033,5,"กันแดด SunSafe เนื้อเบาดี ไม่เหนอะหนะ ทาแล้วหน้าไม่วอก",2023-07-10 09:15:00,12,0
REV006,U00001,P00009,5,"หนังสือ 'The Midnight Library' ดีมาก อ่านแล้วได้ข้อคิดเยอะเลยค่ะ",2023-07-10 18:00:00,30,1
REV007,U00041,P00020,4,"Instant Pot ใช้งานง่าย ทำอาหารได้หลากหลายเมนู ชอบมากครับ แต่คู่มือภาษาไทยน่าจะละเอียดกว่านี้",2023-07-12 10:45:00,18,0
REV008,U00051,P00005,4,"เดรสลายดอกสวยตรงปกค่ะ ผ้าเบาใส่สบาย เหมาะกับหน้าร้อน แต่ส่งช้านิดนึง",2023-07-15 11:00:00,7,1
REV009,U00069,P00019,5,"น้องหมาชอบอาหาร PawsomeEats มากค่ะ กินเกลี้ยงทุกมื้อ ขนสวยขึ้นด้วย",2023-07-14 13:30:00,10,0
REV010,U00007,P00011,4,"หูฟัง SoundWave เสียงดี เบสแน่น แต่ใส่ติดต่อกันนานๆ มีเจ็บหูบ้าง",2023-07-15 09:00:00,14,2
REV011,U00011,P00003,5,"กาแฟ BeanSupreme หอมมากครับ รสชาติกลมกล่อม สั่งประจำ",2023-07-15 14:20:00,22,0
REV012,U00003,P00002,3,"เสื้อยืด EveryWear คุณภาพพอใช้ได้ตามราคาครับ แต่สีซีดเร็วกว่าที่คิด",2023-07-18 16:00:00,5,3
REV013,U00022,P00006,5,"Gaming Laptop CyberPower แรงจริงครับ เล่นเกม AAA ปรับสุดได้สบายๆ",2023-07-20 10:10:00,20,0
