order_id,customer_id,order_date,product_id,quantity,price_per_item,total_amount_for_item,payment_method,promo_code_used
ORD00001,CUST001,2023-01-15 10:30:00,PROD001,1,1200.00,1200.00,Credit Card,
ORD00002,CUST002,2023-01-15 11:05:00,PROD003,2,150.00,300.00,Bank Transfer,SAVE10
ORD00003,CUST003,2023-01-16 14:22:00,PROD005,1,899.00,899.00,COD,
ORD00004,CUST001,2023-01-17 09:00:00,PROD002,1,2500.00,2500.00,Credit Card,FREESHIP
ORD00005,CUST004,2023-01-17 16:50:00,PROD007,3,75.00,225.00,E-wallet,
ORD00006,CUST005,2023-01-18 10:15:00,PROD001,1,1200.00,1200.00,Credit Card,
ORD00007,CUST002,2023-01-18 13:00:00,PROD008,1,350.00,350.00,COD,
ORD00008,CUST006,2023-01-19 17:45:00,PROD004,2,499.00,998.00,Bank Transfer,
ORD00009,CUST007,2023-01-20 08:30:00,PROD006,1,180.00,180.00,E-wallet,SAVE10
ORD00010,CUST008,2023-01-20 12:00:00,PROD003,1,150.00,150.00,Credit Card,
ORD00011,CUST001,2023-01-21 11:11:00,PROD005,1,899.00,899.00,COD,
ORD00012,CUST003,2023-01-21 15:00:00,PROD007,2,75.00,150.00,Bank Transfer,
ORD00013,CUST005,2023-01-22 09:20:00,PROD002,1,2500.00,2500.00,E-wallet,FREESHIP
ORD00014,CUST007,2023-01-22 18:05:00,PROD001,1,1200.00,1200.00,Credit Card,
ORD00015,CUST002,2023-01-23 10:00:00,PROD004,1,499.00,499.00,COD,SAVE10
ORD00016,CUST004,2023-01-23 14:30:00,PROD006,3,180.00,540.00,Bank Transfer,
ORD00017,CUST006,2023-01-24 11:55:00,PROD008,2,350.00,700.00,Credit Card,
ORD00018,CUST008,2023-01-24 16:20:00,PROD002,1,2500.00,2500.00,E-wallet,
ORD00019,CUST001,2023-01-25 09:45:00,PROD007,1,75.00,75.00,COD,
ORD00020,CUST003,2023-01-25 13:10:00,PROD003,2,150.00,300.00,Bank Transfer,DEAL20
ORD00021,CUST005,2023-01-26 10:30:00,PROD005,1,899.00,899.00,Credit Card,
ORD00022,CUST007,2023-01-26 15:50:00,PROD001,1,1200.00,1200.00,E-wallet,FREESHIP
ORD00023,CUST002,2023-01-27 11:00:00,PROD008,1,350.00,350.00,COD,
ORD00024,CUST004,2023-01-27 17:25:00,PROD004,1,499.00,499.00,Bank Transfer,
ORD00025,CUST006,2023-01-28 08:40:00,PROD006,2,180.00,360.00,Credit Card,SAVE10
ORD00026,CUST008,2023-01-28 12:15:00,PROD001,1,1200.00,1200.00,E-wallet,
ORD00027,CUST001,2023-01-29 10:50:00,PROD002,1,2500.00,2500.00,COD,
ORD00028,CUST003,2023-01-29 14:00:00,PROD007,3,75.00,225.00,Bank Transfer,FREESHIP
ORD00029,CUST005,2023-01-30 09:05:00,PROD003,1,150.00,150.00,Credit Card,
ORD00030,CUST007,2023-01-30 16:30:00,PROD005,1,899.00,899.00,E-wallet,DEAL20
ORD00031,CUST002,2023-01-31 11:20:00,PROD001,1,1200.00,1200.00,COD,
ORD00032,CUST004,2023-01-31 17:00:00,PROD008,2,350.00,700.00,Bank Transfer,
ORD00033,CUST006,2023-02-01 09:55:00,PROD004,1,499.00,499.00,Credit Card,SAVE10
ORD00034,CUST008,2023-02-01 13:40:00,PROD006,1,180.00,180.00,E-wallet,
ORD00035,CUST001,2023-02-02 10:10:00,PROD003,1,150.00,150.00,COD,
ORD00036,CUST003,2023-02-02 15:20:00,PROD005,2,899.00,1798.00,Bank Transfer,FREESHIP
ORD00037,CUST005,2023-02-03 11:35:00,PROD007,1,75.00,75.00,Credit Card,
ORD00038,CUST007,2023-02-03 18:00:00,PROD002,1,2500.00,2500.00,E-wallet,DEAL20
ORD00039,CUST002,2023-02-04 09:15:00,PROD004,2,499.00,998.00,COD,
ORD00040,CUST004,2023-02-04 14:45:00,PROD008,1,350.00,350.00,Bank Transfer,
ORD00041,CUST006,2023-02-05 10:05:00,PROD001,1,1200.00,1200.00,Credit Card,SAVE10
ORD00042,CUST008,2023-02-05 16:00:00,PROD006,3,180.00,540.00,E-wallet,
ORD00043,CUST001,2023-02-06 11:25:00,PROD005,1,899.00,899.00,COD,FREESHIP
ORD00044,CUST003,2023-02-06 17:10:00,PROD002,1,2500.00,2500.00,Bank Transfer,
ORD00045,CUST005,2023-02-07 08:50:00,PROD007,2,75.00,150.00,Credit Card,DEAL20
ORD00046,CUST007,2023-02-07 13:30:00,PROD003,1,150.00,150.00,E-wallet,
ORD00047,CUST002,2023-02-08 10:40:00,PROD008,1,350.00,350.00,COD,SAVE10
ORD00048,CUST004,2023-02-08 15:00:00,PROD001,1,1200.00,1200.00,Bank Transfer,
ORD00049,CUST006,2023-02-09 11:00:00,PROD004,1,499.00,499.00,Credit Card,
ORD00050,CUST008,2023-02-09 16:15:00,PROD002,1,2500.00,2500.00,E-wallet,FREESHIP
