player_id,username,registration_date,last_login_date,total_playtime_hours,sessions_last_30_days,average_session_duration_minutes,preferred_game_mode,player_level,achievements_unlocked,in_game_currency_spent,real_money_spent_usd,device_type,country_code
PLYR0001,ShadowGamerX,2022-01-15,2023-10-28,350.5,25,90,Multiplayer Competitive,75,150,50000,49.99,PC,US
PLYR0002,LunaStriker,2021-11-20,2023-10-27,1200.2,15,120,Story,150,300,10000,0.00,Console_PS,JP
PLYR0003,BlazeRunner,2023-03-01,2023-10-29,80.0,30,45,Battle Royale,30,50,2500,9.99,Mobile_Android,KR
PLYR0004,MysticBlade,2020-07-10,2023-09-15,2500.8,5,180,Multiplayer Co-op,200,450,75000,99.99,PC,DE
PLYR0005,NoobSlayer69,2023-08-15,2023-10-25,25.6,10,30,Multiplayer Competitive,10,15,500,0.00,Console_Xbox,US
PLYR0006,CreativeMind,2022-05-05,2023-10-26,150.0,20,60,Sandbox,50,80,10000,19.99,PC,CA
PLYR0007,SoloAdventurer,2023-01-01,2023-10-28,95.3,22,75,Story,40,65,0,0.00,Console_PS,GB
PLYR0008,TeamPlayerPro,2021-09-01,2023-10-27,600.7,18,100,Multiplayer Co-op,120,220,30000,29.99,PC,AU
PLYR0009,MobileWarrior,2023-05-20,2023-10-29,45.1,28,40,Battle Royale,25,40,1500,4.99,Mobile_iOS,TH
PLYR0010,CasualGamer,2022-10-10,2023-10-20,15.0,8,25,Story,5,5,100,0.00,Mobile_Android,BR
PLYR0011,HardcoreHero,2019-01-01,2023-10-28,5000.0,28,240,Multiplayer Competitive,250,500,100000,199.99,PC,US
PLYR0012,StealthNinja,2022-02-14,2023-10-25,280.9,12,150,Story,60,120,20000,0.00,Console_PS,JP
PLYR0013,ArenaChampion,2023-04-10,2023-10-29,120.5,35,60,Battle Royale,45,70,5000,14.99,Mobile_Android,KR
PLYR0014,GuildMaster,2020-03-15,2023-10-01,3200.1,10,200,Multiplayer Co-op,220,480,80000,149.99,PC,DE
PLYR0015,NewbiePlayer,2023-09-01,2023-10-27,5.2,5,15,Story,2,1,0,0.00,Console_Xbox,US
PLYR0016,ArchitectAlpha,2022-06-20,2023-10-24,200.0,22,70,Sandbox,65,100,15000,24.99,PC,CA
