user_id,user_age_group,user_gender,user_location_city,user_location_country,user_location_segment,user_signup_date,user_signup_device,user_loyalty_tier,user_primary_language,user_explicit_preferred_categories
U00001,25-34,Female,Bangkok,Thailand,Urban,2022-03-15,Mobile_Android,Silver,th,"Fashion;Beauty"
U00002,18-24,Male,Chiang Mai,Thailand,Urban,2023-01-20,Mobile_iOS,Bronze,th,Electronics
U00003,35-44,Male,Nonthaburi,Thailand,Suburban,2021-11-05,Desktop,Gold,th,"Home & Kitchen;Books"
U00004,45-54,Female,Phuket,Thailand,Urban,2022-08-10,Mobile_Android,Silver,en,"Travel;Sports"
U00005,25-34,Other,Bangkok,Thailand,Urban,2023-05-01,Mobile_iOS,Bronze,th,
U00006,Unknown,Unknown,Khon Kaen,Thailand,Rural,2022-06-22,Desktop,Bronze,th,
U00007,55+,Male,Bangkok,Thailand,Urban,2020-07-17,Desktop,Platinum,th,"Electronics;Gardening"
U00008,18-24,Female,Chonburi,Thailand,Suburban,2023-02-11,Mobile_Android,Bronze,th,Beauty
U00009,35-44,Female,Singapore,Singapore,Urban,2021-09-30,Mobile_iOS,Gold,en,"Fashion;Luxury"
U00010,25-34,Male,Nakhon Ratchasima,Thailand,Rural,2022-10-03,Desktop,Silver,th,Automotive
U00011,18-24,Male,Bangkok,Thailand,Urban,2023-03-01,Mobile_Android,Bronze,th,"Games;Electronics"
U00012,35-44,Female,Samut Prakan,Thailand,Suburban,2022-01-15,Mobile_iOS,Silver,th,"Home & Kitchen;Kids"
U00013,25-34,Male,Pathum Thani,Thailand,Suburban,2021-05-20,Desktop,Gold,th,"Sports;Health"
U00014,45-54,Male,Surat Thani,Thailand,Urban,2020-12-01,Mobile_Android,Silver,th,
U00015,18-24,Female,Bangkok,Thailand,Urban,2023-04-10,Mobile_iOS,Bronze,th,Fashion
U00016,25-34,Female,Chiang Mai,Thailand,Urban,2022-11-25,Desktop,Silver,th,"Books;Stationery"
U00017,35-44,Unknown,Nonthaburi,Thailand,Suburban,2021-08-19,Mobile_Android,Bronze,th,Pets
U00018,55+,Female,Phuket,Thailand,Urban,2020-02-14,Mobile_iOS,Platinum,en,"Home & Kitchen;Antiques"
U00019,25-34,Male,Bangkok,Thailand,Urban,2023-06-05,Desktop,Bronze,th,Electronics
U00020,18-24,Male,Hat Yai,Thailand,Urban,2022-07-07,Mobile_Android,Silver,th,
U00021,35-44,Female,Udon Thani,Thailand,Rural,2021-01-22,Mobile_iOS,Gold,th,"Fashion;Beauty;Kids"
U00022,25-34,Male,Kuala Lumpur,Malaysia,Urban,2022-04-18,Desktop,Silver,ms,"Electronics;Games"
U00023,45-54,Female,Bangkok,Thailand,Urban,2020-10-30,Mobile_Android,Gold,th,"Health;Supplements"
U00024,18-24,Other,Chiang Mai,Thailand,Urban,2023-07-14,Mobile_iOS,Bronze,th,Art
U00025,25-34,Male,Rayong,Thailand,Suburban,2022-09-09,Desktop,Bronze,th,
U00026,35-44,Male,Bangkok,Thailand,Urban,2021-04-03,Mobile_Android,Silver,th,"Sports;Outdoor"
U00027,Unknown,Male,Nakhon Sawan,Thailand,Rural,2022-05-28,Mobile_iOS,Bronze,th,Agriculture
