product_id,product_name,product_description,product_category_l1,product_category_l2,product_category_l3,product_brand,product_current_price,product_original_price,product_current_discount_percentage,product_tags_keywords,product_stock_level,product_release_date,product_image_url_main,product_shipping_weight_kg,product_dimensions_cm,product_average_rating_received,product_total_reviews_received
P00001,Nova Smartphone X20,Latest generation smartphone with AI camera and long-lasting battery.,Electronics,Mobile Phones,Smartphones,NovaTech,25990.00,27990.00,7.15,smartphone;android;5G;camera,150,2023-03-15,https://example.com/images/P00001.jpg,0.18,15.8x7.3x0.8,4.7,255
P00002,Comfy Cotton T-Shirt - Blue,Soft and breathable cotton t-shirt for everyday wear.,Fashion,Men's Apparel,T-Shirts,EveryWear,350.00,400.00,12.50,tshirt;cotton;casual;men,300,2022-09-01,https://example.com/images/P00002.jpg,0.15,N/A,4.5,150
P00003,Premium Noise-Cancelling Earbuds,True wireless earbuds with active noise cancellation and water resistance.,Electronics,Audio & Headphones,Earbuds,SoundPro,3990.00,4500.00,11.33,earbuds;wireless;noise-cancelling;waterproof,120,2023-01-10,https://example.com/images/P00003.jpg,0.06,5.5x4.2x2.8,4.8,185
P00004,Smart LED TV 55 inch 4K UHD,Immersive viewing experience with vibrant colors and smart features.,Electronics,Televisions,Smart TVs,VisionMax,18900.00,22000.00,14.09,tv;smart tv;4k;uhd;led,45,2022-11-20,https://example.com/images/P00004.jpg,15.5,123x71x7,4.6,120
P00005,Floral Print Summer Dress,Lightweight and stylish dress perfect for summer occasions.,Fashion,Women's Apparel,Dresses,BellaStyle,1290.00,1500.00,14.00,dress;summer;floral;women,120,2023-04-01,https://example.com/images/P00005.jpg,0.3,N/A,4.3,88
P00006,Advanced Gaming Laptop Ryzen 7,High-performance gaming laptop with dedicated graphics card.,Electronics,Computers & Laptops,Gaming Laptops,CyberPower,45500.00,49900.00,8.82,laptop;gaming;ryzen;nvidia,30,2023-02-01,https://example.com/images/P00006.jpg,2.5,36x25x2.5,4.9,75
P00007,Non-Stick Frying Pan Set (3 pcs),Durable non-stick coating for easy cooking and cleaning.,Home & Kitchen,Cookware,Pans,KitchenPro,990.00,1200.00,17.50,frying pan;non-stick;cookware,200,2022-07-15,https://example.com/images/P00007.jpg,2.1,20x20x8;24x24x9;28x28x10,4.4,180
P00008,Vitamin C Serum - Brightening,Reduces dark spots and boosts skin radiance.,Beauty,Skincare,Serums,GlowUp,650.00,750.00,13.33,serum;vitamin c;skincare;brightening,180,2022-05-10,https://example.com/images/P00008.jpg,0.1,3x3x10,4.6,210
P00009,Yoga Mat - Non-Slip 6mm,Eco-friendly yoga mat with excellent grip and cushioning.,Sports & Outdoors,Fitness & Exercise,Yoga Equipment,ZenFlex,790.00,950.00,16.84,yoga;mat;fitness;non-slip,140,2022-08-15,https://example.com/images/P00009.jpg,1.2,183x61x0.6,4.7,165
P00010,Stainless Steel Cookware Set (10 pcs),Complete kitchen cookware set with non-stick coating.,Home & Kitchen,Cookware,Cookware Sets,ChefElite,4500.00,5200.00,13.46,cookware;stainless steel;kitchen;pots and pans,65,2022-07-01,https://example.com/images/P00010.jpg,5.8,60x40x30,4.8,110
P00011,Bluetooth Wireless Headphones,Over-ear headphones with noise-cancelling feature.,Electronics,Audio & Headphones,Wireless Headphones,SoundWave,2800.00,3200.00,12.50,headphones;bluetooth;wireless;noise cancelling,90,2022-10-01,https://example.com/images/P00011.jpg,0.25,18x16x8,4.5,190
P00012,Running Shoes - Men's AirFlex,Lightweight and cushioned running shoes for men.,Fashion,Men's Shoes,Running Shoes,RunFast,2200.00,2500.00,12.00,running shoes;sports;men;athletic,110,2023-01-20,https://example.com/images/P00012.jpg,0.7,N/A,4.6,95
P00013,Kids' Building Blocks Set (500 pcs),Colorful and educational building blocks for creative play.,Toys & Games,Building Toys,Block Sets,PlayLearn,899.00,899.00,0.00,toys;blocks;kids;educational,250,2022-06-11,https://example.com/images/P00013.jpg,1.5,30x20x15,4.9,130
P00014,Stainless Steel Water Bottle 750ml,Insulated bottle to keep drinks hot or cold for hours.,Home & Kitchen,Kitchen Storage & Organization,Water Bottles,HydroFlasky,550.00,650.00,15.38,water bottle;stainless steel;insulated,300,2022-04-01,https://example.com/images/P00014.jpg,0.35,7x7x25,4.8,220
P00015,Leather Wallet - Brown,Classic bifold leather wallet with multiple card slots.,Fashion,Men's Accessories,Wallets,GentlemenCo,950.00,950.00,0.00,wallet;leather;men;accessory,100,2021-11-01,https://example.com/images/P00015.jpg,0.12,11x9x1.5,4.7,70
P00016,Moisturizing Lipstick - Velvet Red,Long-lasting and hydrating lipstick with a velvet finish.,Beauty,Makeup,Lipstick,LuxeLips,420.00,480.00,12.50,lipstick;makeup;beauty;red,160,2023-03-01,https://example.com/images/P00016.jpg,0.03,2x2x7.5,4.5,105
P00017,Office Chair - Ergonomic Mesh,Comfortable and supportive office chair for long hours.,Home & Kitchen,Furniture,Office Chairs,ErgoSeat,3500.00,4200.00,16.67,office chair;ergonomic;furniture,60,2022-01-10,https://example.com/images/P00017.jpg,14.0,60x60x110,4.4,85
P00018,Portable Bluetooth Speaker,Compact and waterproof speaker with rich sound.,Electronics,Audio & Headphones,Portable Speakers,BeatBox,1390.00,1600.00,13.13,bluetooth speaker;portable;waterproof,130,2022-09-20,https://example.com/images/P00018.jpg,0.5,15x7x7,4.6,150
P00019,Dog Food - Chicken & Rice (10kg),Nutritionally balanced dry dog food for adult dogs.,Pets,Dog Supplies,Dog Food,PawsomeEats,850.00,850.00,0.00,dog food;pet supplies;chicken,70,2023-02-15,https://example.com/images/P00019.jpg,10.1,40x30x15,4.7,90
P00020,Mechanical Gaming Keyboard RGB,Responsive mechanical keyboard with customizable RGB lighting.,Electronics,Computer Accessories,Keyboards,GameMaster,2200.00,2500.00,12.00,keyboard;gaming;mechanical;rgb,85,2022-11-15,https://example.com/images/P00020.jpg,1.2,44x14x4,4.8,135
P00021,Ceramic Plant Pot Set (3 pcs),Modern decorative pots for indoor plants in various sizes.,Home & Kitchen,Home Decor,Plant Pots,GreenHome,750.00,900.00,16.67,plant pot;ceramic;home decor;indoor,120,2023-01-20,https://example.com/images/P00021.jpg,2.5,12x12x10;15x15x12;18x18x15,4.5,65
P00022,Eyeshadow Palette - Nude Tones,12 versatile nude shades for various makeup looks.,Beauty,Makeup,Eyeshadow,GlamArt,750.00,750.00,0.00,eyeshadow;makeup;beauty;nude,110,2023-01-05,https://example.com/images/P00022.jpg,0.15,15x8x1.2,4.6,99
P00023,Wireless Mouse - Ergonomic Design,Comfortable wireless mouse with adjustable DPI.,Electronics,Computer Accessories,Mice,ClickTech,490.00,600.00,18.33,mouse;wireless;ergonomic;computer,200,2022-07-01,https://example.com/images/P00023.jpg,0.09,11x7x4,4.5,170
P00024,Board Game - Settlers of Catan,Strategy board game of trading and building.,Toys & Games,Board Games,Strategy Games,Catan Studio,1650.00,1650.00,0.00,board game;strategy;catan,80,2015-01-01,https://example.com/images/P00024.jpg,1.1,29x24x7.5,4.9,1050
P00025,Air Purifier with HEPA Filter,Removes allergens and pollutants for cleaner indoor air.,Home & Kitchen,Air Quality,Air Purifiers,CleanAir,3900.00,4500.00,13.33,air purifier;hepa;allergen;home,50,2022-09-05,https://example.com/images/P00025.jpg,4.2,30x30x50,4.7,85
P00026,Wireless Charging Pad - Fast Charge,Qi-compatible wireless charger for smartphones and earbuds.,Electronics,Mobile Accessories,Chargers,PowerUp,590.00,700.00,15.71,wireless charger;fast charge;qi;smartphone,180,2022-10-10,https://example.com/images/P00026.jpg,0.15,10x10x1.5,4.5,120
P00027,Organic Baby Food Pouches (12 pack),Nutritious fruit and vegetable purees for babies.,Baby Products,Baby Food,Purees,NatureKids,450.00,450.00,0.00,baby food;organic;pouches,200,2023-03-01,https://example.com/images/P00027.jpg,1.5,15x10x20,4.9,75
P00028,Silk Scarf - Abstract Print,Luxurious silk scarf with a vibrant abstract design.,Fashion,Women's Accessories,Scarves,EleganceSilk,890.00,890.00,0.00,scarf;silk;women;accessory,70,2023-02-20,https://example.com/images/P00028.jpg,0.08,90x90,4.8,45
P00029,Espresso Machine - Semi-Automatic,Brew cafe-quality espresso at home.,Home & Kitchen,Kitchen Appliances,Coffee & Espresso Machines,CafeHome,7500.00,8500.00,11.76,espresso machine;coffee;kitchen,35,2022-05-15,https://example.com/images/P00029.jpg,6.2,28x23x32,4.6,68
P00030,Kids' Pajama Set - Dinosaur Print,Soft cotton pajamas for a comfortable night's sleep.,Fashion,Kids' Apparel,Sleepwear,DreamyWear,480.00,550.00,12.73,pajamas;kids;cotton;dinosaur,120,2022-12-01,https://example.com/images/P00030.jpg,0.25,N/A,4.9,55
P00031,Travel Backpack - 40L,Durable and spacious backpack for travel and hiking.,Sports & Outdoors,Outdoor Gear,Backpacks,AdventurePro,1800.00,2200.00,18.18,backpack;travel;hiking;outdoor,90,2022-04-10,https://example.com/images/P00031.jpg,1.1,55x35x20,4.7,115
P00032,Organic Green Tea Bags (50 count),Refreshing and healthy organic green tea.,Groceries,Beverages,Tea,TeaTime,180.00,180.00,0.00,green tea;organic;tea bags,250,2023-01-25,https://example.com/images/P00032.jpg,0.15,15x8x7,4.8,130
P00033,Digital Drawing Tablet,Professional graphics tablet for digital artists and designers.,Electronics,Computer Accessories,Drawing Tablets,ArtPro,5500.00,6200.00,11.29,drawing tablet;digital art;graphics;design,60,2022-08-20,https://example.com/images/P00033.jpg,0.8,35x22x1,4.7,95
P00034,Hardcover Journal - Lined Pages,Premium quality journal for writing and note-taking.,Office Supplies,Stationery,Notebooks & Journals,WriteWell,250.00,250.00,0.00,journal;notebook;stationery,180,2021-09-01,https://example.com/images/P00034.jpg,0.4,15x21x1.5,4.9,80
P00035,Men's Leather Belt - Black,Classic black leather belt for formal or casual wear.,Fashion,Men's Accessories,Belts,StyleCraft,650.00,750.00,13.33,belt;leather;men;accessory,130,2022-02-01,https://example.com/images/P00035.jpg,0.2,N/A,4.5,60
P00036,Action Camera 4K Waterproof,Capture stunning videos and photos on your adventures.,Electronics,Cameras & Photography,Action Cameras,GoCapture,3800.00,4500.00,15.56,action camera;4k;waterproof;sports,70,2022-06-20,https://example.com/images/P00036.jpg,0.12,6x4x3,4.6,92
P00037,Fleece Throw Blanket - Grey,Soft and cozy fleece blanket for warmth and comfort.,Home & Kitchen,Bedding,Blankets & Throws,CozyHome,590.00,700.00,15.71,blanket;fleece;home;cozy,150,2022-10-15,https://example.com/images/P00037.jpg,0.7,150x200,4.8,125
P00038,Resistance Bands Set (5 pcs),Versatile resistance bands for home workouts.,Sports & Outdoors,Fitness & Exercise,Resistance Bands,FlexFit,350.00,420.00,16.67,resistance bands;fitness;workout,200,2022-11-05,https://example.com/images/P00038.jpg,0.3,N/A,4.7,100
P00039,"Sapiens: A Brief History of Humankind",A thought-provoking book on human history by Yuval Noah Harari.,Books,Non-Fiction,History,Vintage,450.00,450.00,0.00,book;non-fiction;history;sapiens,300,2015-02-10,https://example.com/images/P00039.jpg,0.5,15x23x3,4.9,5200
P00040,Hair Dryer - Professional Ionic,Fast drying and reduces frizz with ionic technology.,Beauty,Hair Care,Hair Styling Tools,SalonStyle,1200.00,1500.00,20.00,hair dryer;ionic;hair care,90,2022-08-01,https://example.com/images/P00040.jpg,0.6,20x25x8,4.5,110
P00041,Smart Light Bulb - WiFi RGB,Control your lighting wirelessly with voice or app.,Electronics,Smart Home,Smart Lighting,GlowSmart,380.00,450.00,15.56,smart bulb;wifi;rgb;smart home,160,2023-01-12,https://example.com/images/P00041.jpg,0.1,6x6x12,4.6,75
P00042,Puzzle - 1000 Pieces Scenic View,Challenging and beautiful puzzle for adults and families.,Toys & Games,Puzzles,Jigsaw Puzzles,PuzzleWorld,450.00,450.00,0.00,puzzle;jigsaw;1000 pieces,110,2022-05-25,https://example.com/images/P00042.jpg,0.7,30x22x5,4.7,60
P00043,Car Phone Mount - Air Vent Clip,Securely holds your phone for hands-free navigation.,Automotive,Car Accessories,Phone Mounts,DriveSafe,290.00,350.00,17.14,car mount;phone holder;auto,250,2022-09-10,https://example.com/images/P00043.jpg,0.08,10x5x8,4.4,140
P00044,Baby Diapers - Size M (60 pcs),Absorbent and comfortable diapers for babies.,Baby Products,Diapering,Disposable Diapers,BabySoft,320.00,320.00,0.00,diapers;baby;disposable,180,2023-02-28,https://example.com/images/P00044.jpg,1.8,35x20x15,4.8,105
P00045,Reusable Shopping Bags (Set of 5),Eco-friendly and durable shopping bags in various colors.,Home & Kitchen,Storage & Organization,Shopping Bags,EcoCarry,250.00,300.00,16.67,shopping bags;reusable;eco-friendly,220,2022-06-15,https://example.com/images/P00045.jpg,0.3,40x35x10,4.6,150
P00046,Protein Powder - Whey Isolate Chocolate (1kg),High-quality protein for muscle recovery and growth.,Health & Wellness,Sports Nutrition,Protein Powders,NutriPro,1350.00,1500.00,10.00,protein powder;whey;sports;fitness,80,2022-12-05,https://example.com/images/P00046.jpg,1.1,20x20x30,4.7,95
P00049,Wireless Keyboard and Mouse Combo,Full-size keyboard and comfortable mouse for desktop use.,Electronics,Computer Accessories,Keyboards,TypeEase,990.00,1200.00,17.50,keyboard;mouse;wireless;combo,110,2022-10-28,https://example.com/images/P00049.jpg,0.7,45x15x3,4.4,120
